#p (bar)	T (K)
1.000e-04	1.850e+03
2.154e-04	1.850e+03
4.642e-04	1.850e+03
1.000e-03	1.850e+03
2.154e-03	1.850e+03
4.642e-03	1.850e+03
1.000e-02	1.850e+03
2.154e-02	1.850e+03
4.642e-02	1.850e+03
1.000e-01	1.850e+03
2.154e-01	1.850e+03
4.642e-01	1.850e+03
1.000e+00	1.850e+03
2.154e+00	1.850e+03
4.642e+00	1.850e+03
1.000e+01	1.850e+03
2.154e+01	1.850e+03
4.642e+01	1.850e+03
1.000e+02	1.850e+03
2.154e+02	1.850e+03
4.642e+02	1.850e+03
1.000e+03	1.850e+03
1.000e-08	1.900e+03
2.154e-08	1.900e+03
4.642e-08	1.900e+03
1.000e-07	1.900e+03
2.154e-07	1.900e+03
4.642e-07	1.900e+03
1.000e-06	1.900e+03
2.154e-06	1.900e+03
4.642e-06	1.900e+03
1.000e-05	1.900e+03
2.154e-05	1.900e+03
4.642e-05	1.900e+03
1.000e-04	1.900e+03
2.154e-04	1.900e+03
4.642e-04	1.900e+03
1.000e-03	1.900e+03
2.154e-03	1.900e+03
4.642e-03	1.900e+03
1.000e-02	1.900e+03
2.154e-02	1.900e+03
4.642e-02	1.900e+03
1.000e-01	1.900e+03
2.154e-01	1.900e+03
4.642e-01	1.900e+03
1.000e+00	1.900e+03
2.154e+00	1.900e+03
4.642e+00	1.900e+03
1.000e+01	1.900e+03
2.154e+01	1.900e+03
4.642e+01	1.900e+03
1.000e+02	1.900e+03
2.154e+02	1.900e+03
4.642e+02	1.900e+03
1.000e+03	1.900e+03
1.000e-08	1.950e+03
2.154e-08	1.950e+03
4.642e-08	1.950e+03
1.000e-07	1.950e+03
2.154e-07	1.950e+03
4.642e-07	1.950e+03
1.000e-06	1.950e+03
2.154e-06	1.950e+03
4.642e-06	1.950e+03
1.000e-05	1.950e+03
2.154e-05	1.950e+03
4.642e-05	1.950e+03
1.000e-04	1.950e+03
2.154e-04	1.950e+03
4.642e-04	1.950e+03
1.000e-03	1.950e+03
2.154e-03	1.950e+03
4.642e-03	1.950e+03
1.000e-02	1.950e+03
2.154e-02	1.950e+03
4.642e-02	1.950e+03
1.000e-01	1.950e+03
2.154e-01	1.950e+03
4.642e-01	1.950e+03
1.000e+00	1.950e+03
2.154e+00	1.950e+03
4.642e+00	1.950e+03
1.000e+01	1.950e+03
2.154e+01	1.950e+03
4.642e+01	1.950e+03
1.000e+02	1.950e+03
2.154e+02	1.950e+03
4.642e+02	1.950e+03
1.000e+03	1.950e+03
